TAG,Laboratório de referência,Nº Série,Próxima checagem,Observações adicionais,Status,Frequência (em anos),Última calibração,Próxima calibração,Local calibração
BA-037,B&F,12505078,,,Em uso,1,31/01/2024,,Instalação permanente
BA-010,B&F,124492335,,,Em uso,1,31/01/2024,,Instalação permanente
BA-036,B&F,8214,,,Inativo,1,31/01/2024,,Instalação permanente
MAN21_29,B&F,82002EIO,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_22,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_23,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_24,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_25,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_26,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_27,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN16_56,B&F,356759W8,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_30,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_36,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_37,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_38,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_28,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_59,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_60,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_61,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_19,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_62,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN-037,B&F,Não Identificado,,,Inativo,1,28/02/2024,,Instalação permanente
MAN10_29,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_30,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN-0415,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
00266617,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MA152,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN-30,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_63,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_64,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_65,B&F,8200UHR,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_66,B&F,82004HFX,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_67,B&F,820026QY,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_68,B&F,8200CQGK,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_69,B&F,82004HTZ,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_70,B&F,82004COH,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_32,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_71,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_72,B&F,8200CQGD,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_73,B&F,82002VHV,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21_74,B&F,8200CQGG,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_33,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_34,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_35,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10_36,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN10-37,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
MAN21-75,B&F,Não Identificado,,,Em uso,1,31/01/2024,,Instalação permanente
53120/18,B&F,53120/18,,,Em uso,1,31/01/2024,,Instalação permanente
56440/19,B&F,56440/19,,,Em uso,1,31/01/2024,,Instalação permanente
53143/18,B&F,53143/18,,,Em uso,1,31/01/2024,,Instalação permanente
76454/13,B&F,76454/13,,,Em uso,1,31/01/2024,,Instalação permanente
29960/16,B&F,29960/16,,,Em uso,1,31/01/2024,,Instalação permanente
51293/19,B&F,51293/19,,,Em uso,1,31/01/2024,,Instalação permanente
